month,fch4_mean,fch4_n,fch4_sd,fch4_se,fch4_1_1_1_mean,fch4_1_1_1_n,fch4_1_1_1_sd,fch4_1_1_1_se,fch4_1_1_2_mean,fch4_1_1_2_n,fch4_1_1_2_sd,fch4_1_1_2_se,soil_temp_f,soil_temp_n,atm_temp_f,precip_in,fco2,wte_m
2011-08,163.60964615384614,455,104.06775871703847,4.878771779411028,,0,,,,0,,,64.586,30,66.02,0.4,-4.230457807,413.41
2011-09,118.37222928709056,519,63.045852282864836,2.7674057640601597,,0,,,,0,,,54.177499999999995,24,53.96,0.105,-2.477226349,413.41
2011-10,55.49623553719008,484,54.65596559987348,2.484362072721522,,0,,,,0,,,49.325,24,46.139,0.215,-0.761331365,413.39
2011-11,34.72849433962264,530,53.23102269196667,2.31220787112814,,0,,,,0,,,37.604,30,30.38,0.08,-0.270720471,413.38
2011-12,17.72651766513057,651,7.315535191163324,0.28671842975613976,,0,,,,0,,,30.7775,24,19.175,0.03,-0.2899162,413.35
2012-01,17.963703081232495,714,7.948384331582303,0.2974608075837548,,0,,,,0,,,29.315,24,13.829,0.095,-0.347805673,413.34
2012-02,15.728465361445782,664,8.84620137761276,0.34329919248691143,,0,,,,0,,,29.99,30,20.426,0.12,-0.308413184,413.29
2012-03,17.804798365122615,367,8.491167159771889,0.4432353178192897,,0,,,,0,,,31.85,24,37.571,0.185,-0.490449262,413.26
2012-04,19.3647793814433,485,6.941073888826749,0.31517792955514023,,0,,,,0,,,34.4225,24,41.117,0.395,-0.873513748,413.28
2012-05,33.57585411140583,377,13.860604685676453,0.7138574597344747,,0,,,,0,,,47.593999999999994,30,54.392,0.46,-1.646015315,413.38
2012-06,90.05441860465116,473,33.43946118997873,1.5375480636198016,,0,,,,0,,,57.972500000000004,24,63.176,0.335,-3.264889574,413.43
2012-07,139.48852441613587,471,104.06649576575943,4.795131010026978,,0,,,,0,,,64.184,30,70.358,0.32,-2.400856386,413.41
2012-08,127.16043289224955,529,42.79306983382683,1.8605682536446446,,0,,,,0,,,61.152499999999996,24,64.373,0.15,-3.079014467,413.39
2012-09,78.21839428571428,525,46.785445943543465,2.041884261510025,,0,,,,0,,,54.3125,24,53.69,0.05,-1.269438412,413.35
2012-10,36.794837398373986,246,11.345960123878298,0.7233919962330031,,0,,,,0,,,44.858000000000004,30,40.298,0.21,-0.535890634,413.3
2012-11,20.384903846153847,468,7.919204133799702,0.3660653405805283,,0,,,,0,,,36.785,24,28.553,0.195,-0.406338678,413.28
2012-12,13.511510101010101,396,9.430052029999901,0.47387794450058995,,0,,,,0,,,30.74,24,13.442,0.1,-0.27298042,413.27
2013-01,,0,,,,0,,,,0,,,29.204,30,8.654,0.185,-0.177036785,413.25
2013-02,23.217499999999998,2,36.44640482269821,25.771499999999993,,0,,,,0,,,29.855,24,10.976,0.135,-0.218174285,413.22
2013-03,,0,,,,0,,,,0,,,30.5225,24,19.922,0.195,-0.185124882,413.2
2013-04,11.083431297709923,262,23.27201780263959,1.4377500613651961,,0,,,,0,,,31.2875,24,32.576,0.325,-0.110900333,413.19
2013-05,14.341135897435896,390,19.36384343194973,0.9805263270789992,,0,,,,0,,,42.986000000000004,30,49.01,0.23,-0.712072729,413.28
2013-06,45.19017073170732,164,12.729175241890973,0.9939815916327102,,0,,,,0,,,55.535000000000004,24,60.26,0.3,-3.815602408,413.34
2013-07,,0,,,,0,,,,0,,,62.053999999999995,30,65.795,0.315,-3.906552973,413.34
2013-08,,0,,,,0,,,,0,,,61.115,24,66.11,0.195,-4.228207859,413.34
2013-09,,0,,,,0,,,,0,,,57.379999999999995,24,57.677,0.115,-2.087283084,413.29
2013-10,,0,,,,0,,,,0,,,46.514,30,41.873,0.28,-0.892259691,413.25
2013-11,,0,,,,0,,,,0,,,36.2825,24,25.34,0.085,-0.256764879,413.25
2013-12,,0,,,,0,,,,0,,,30.872,30,-0.49,0.18,-0.317246744,413.24
2014-01,7.256028301886793,424,36.311713893141324,1.763452717118501,,0,,,,0,,,29.195,24,-2.371,0.085,-0.225906598,413.2
2014-02,6.07893220338983,59,14.025933433642823,1.8260209992154868,,0,,,,0,,,29.240000000000002,24,1.562,0.155,-0.192748635,413.18
2014-03,7.475529702970297,202,13.41992450177875,0.9442225929917414,,0,,,,0,,,30.425,24,16.61,0.12,-0.150318654,413.16
2014-04,,0,,,,0,,,,0,,,31.895,24,34.7,0.26,-1.050383733,413.15
2014-05,30.228253521126764,71,12.251836088309739,1.4540254348803525,,0,,,,0,,,41.72,30,52.088,0.355,-1.214392975,413.25
2014-06,54.20889333333333,300,24.398169161162038,1.4086289532930927,,0,,,,0,,,55.445,24,61.853,0.73,-3.025618532,413.41
2014-07,117.54093766233765,385,70.56067207804557,3.596104835052721,,0,,,,0,,,60.32,30,63.878,0.265,-4.464104373,413.43
2014-08,100.47254508196721,244,29.348584991128597,1.8788506263547626,,0,,,,0,,,60.32000000000001,24,63.851,0.29,-3.510583929,413.43
2014-09,72.01982978723404,423,59.91227022866019,2.913034262507693,,0,,,,0,,,55.722500000000004,24,55.256,0.17,-2.600769596,413.41
2014-10,50.90096915167095,389,27.058840420862946,1.3719376694844607,,0,,,,0,,,46.982,30,42.575,0.13,-0.517199688,413.41
2014-11,,0,,,,0,,,,0,,,36.8375,24,19.49,0.055,-0.370181425,413.4
2014-12,15.46641640378549,317,5.6059769587023975,0.31486303497454615,,0,,,,0,,,30.968,30,19.076,0.06,-0.333346569,413.36
2015-01,,0,,,15.928453488372092,86,4.897636740203144,0.5281257518391531,,0,,,28.9775,24,9.707,0.06,-0.598649,413.34
2015-02,,0,,,13.85207105263158,380,6.79047893148552,0.34834421919972364,,0,,,26.75,24,2.849,0.06,-0.624300101,413.32
2015-03,,0,,,17.75737843551797,473,6.4606284952407655,0.2970600146990786,17.477696202531646,237,8.788227314001967,0.5708567080344167,29.81,24,28.4,0.09,-0.465495266,413.28
2015-04,,0,,,20.85916556291391,604,6.407947516602221,0.26073568667110997,19.21303041144902,559,6.690047429055798,0.2829588571742158,32.546,30,40.847,0.085,-0.736008844,413.28
2015-05,,0,,,19.745251626898046,461,5.565516831504843,0.2592119611143299,19.929445454545455,110,5.87711412921539,0.5603608454933561,39.0275,24,50.549,0.505,-0.957339601,413.27
2015-06,,0,,,26.57016488222698,467,6.561996695811848,0.3036529936421659,,0,,,50.4425,24,61.394,0.3,-2.015678688,413.4
2015-07,,0,,,39.4551390593047,489,13.6812906378568,0.6186893487532761,60.81283571428572,140,17.30994101815349,1.4629570300592094,58.202,30,67.649,0.325,-2.097091341,413.37
2015-08,,0,,,,0,,,51.83945597484277,318,14.079553463721917,0.7895421524505443,57.8,24,63.968,0.515,-2.249540463,413.3
2015-09,,0,,,48.467197860962564,187,10.090852458655863,0.7379162138950489,47.21459375,128,12.303129769813616,1.0874533112566618,57.553999999999995,30,60.62,0.535,-1.11521805,413.26
2015-10,,0,,,,0,,,40.25476079734219,301,16.174779412692402,0.9322987861955634,46.9175,24,44.402,0.24,-0.686908212,413.26
2015-11,,0,,,24.249324110671935,253,11.559064056522455,0.7267121308997091,11.94995,40,7.302534371972936,1.154632065355087,44.24,18,33.764,0.31,-0.292745691,413.26
2015-12,,0,,,18.954658536585367,82,10.867100658476916,1.2000705097245756,17.582310344827587,87,22.07902725692118,2.367120187917053,32.996,30,23.198,0.195,-0.283814229,413.3
2016-01,,0,,,16.596021739130435,92,18.487094255763942,1.9274128131792656,9.587640211640212,189,2.510050198207869,0.18257928621311856,30.23,24,11.003,0.09,-0.085007259,413.3
2016-02,,0,,,12.32141447368421,152,8.664599237870249,0.7027918009479169,8.649904371584698,366,3.1628838677215403,0.16532658820323254,29.9675,24,15.737,0.105,0.027448896,413.28
2016-03,,0,,,12.086355769230769,208,13.425377333585278,0.9308824301671872,10.151460396039603,404,8.024083971337337,0.39921309844242575,31.607272727272726,33,32.693,0.24,-0.469383933,413.26
2016-04,,0,,,15.983855670103093,194,21.71662146549122,1.559162555876252,12.35328612716763,346,5.409000930728206,0.29078969154182577,36.875,24,39.146,0.21,-0.720966,413.35
2016-05,,0,,,27.04984565916399,311,13.62080314559097,0.7723648870508072,22.148899408284024,338,6.954097149944065,0.3782530193658071,47.9375,24,54.293,0.15,-1.150435506,413.41
2016-06,,0,,,38.31771337579618,471,15.63102700933653,0.7202397061562272,52.07174015748031,127,11.43478804657267,1.0146733606919827,55.118,30,61.034,0.315,-2.518007379,413.4
2016-07,,0,,,59.39337711864407,472,21.992732993613878,1.0122975886067973,61.528818181818174,143,18.362355996860583,1.535537348728045,61.790000000000006,24,66.632,0.41,-3.063798106,413.39
2016-08,,0,,,83.74771679197995,399,25.264845658508094,1.2648243026848607,86.18330975609756,410,17.211210971181714,0.8500011235208152,62.888,30,65.795,0.41,-3.204370598,413.4
2016-09,,0,,,72.1714972826087,368,22.067877501155102,1.1503676366591649,68.9546102088167,431,18.316282167724676,0.8822642674945532,56.645,24,57.317,0.385,-1.496250247,413.38
2016-10,,0,,,48.85406552706552,351,13.541124116819937,0.7227717350906392,45.37991131498471,327,10.827900198131674,0.5987842491802542,48.957499999999996,24,45.41,0.09,-0.627748172,413.4
2016-11,,0,,,32.9755247148289,263,17.742293514399556,1.0940366861017592,31.64654385964912,285,16.068229350060104,0.9517997623083811,42.398,30,36.68,0.3,-0.234448962,413.38
2016-12,,0,,,29.77413953488372,172,29.734216089154867,2.2672127217784244,15.640953810623557,433,4.015822681350212,0.19298812207252047,33.215,24,11.795,0.195,0.086110825,413.41
2017-01,,0,,,15.043073863636364,176,43.439665048435025,3.274387954190332,10.76890272373541,514,3.1775838814816857,0.14015721664311256,31.4075,24,12.371,0.14,-0.067000896,413.34
2017-02,,0,,,14.856370786516852,178,46.802346744456024,3.507984200434208,7.939815047021943,638,4.181572975159757,0.16555005941808942,31.83,18,18.248,0.14,-0.012102069,413.31
2017-03,,0,,,18.436937853107345,177,51.22100835485534,3.850006748022673,8.850679358717434,499,14.75760020955899,0.6606409166346078,31.178,30,25.151,0.095,-0.334325313,413.32
2017-04,,0,,,38.49246135265701,414,27.85672895660831,1.3690835364796987,35.129815217391304,368,12.877242516423998,0.6712726694957503,37.76857142857143,21,42.197,0.235,-0.481007225,413.38
2017-05,,0,,,45.81719879518072,332,29.944380839544582,1.6434114018510368,39.199075,160,13.006863648442788,1.0282828586081703,48.302,30,50.927,0.175,-1.219516998,413.45
2017-06,,0,,,66.1280974025974,462,14.75808939325477,0.6866084578036356,71.11529781420765,366,19.908033240174323,1.040609567434277,57.275,24,61.736,0.35,-2.482012113,413.46
2017-07,,0,,,86.47276679841897,506,25.820141777282604,1.1478453103618589,89.49443333333332,420,22.85652315819242,1.1152841308714911,62.623999999999995,30,66.785,0.185,-2.759271468,413.44
2017-08,,0,,,65.15905611222445,499,20.442290463017,0.9151226024439124,77.63785,400,25.19959027519287,1.2599795137596437,59.989999999999995,24,61.583,0.315,-2.695409899,413.41
2017-09,,0,,,57.10164530892449,437,14.62119638361125,0.6994266754589357,62.11831607629428,367,15.551675595711524,0.8117908581454505,57.425,24,57.803,0.38,-1.358738288,413.36
2017-10,,0,,,45.43351428571429,315,8.919086056954246,0.5025335686216446,44.33423384615385,325,10.428436376856066,0.5784655704564378,49.1525,24,43.205,0.22,-0.730759348,413.36
2017-11,,0,,,24.777047451669596,569,7.690410617175951,0.32239878443509096,24.609920774647886,568,10.696366506596902,0.44880956869226,36.362,30,23.477,0.115,-0.135576316,413.36
2017-12,,0,,,16.20656958393113,697,5.837700136724638,0.22111866003756342,15.71191927512356,607,5.455866674511057,0.2214467971554622,30.7475,24,8.393,0.095,-0.490271045,413.35
2018-01,,0,,,14.04382909090909,550,5.516964164123529,0.23524414237987357,14.64938418079096,531,12.709706591006935,0.5515542866563307,29.768,30,8.69,0.095,-0.335782107,413.31
2018-02,,0,,,13.546503092783505,485,10.122603251398216,0.459643736053514,15.13943974630021,473,20.274539993242005,0.9322243420816104,28.22,18,6.737,0.175,-0.401614176,413.28
2018-03,,0,,,12.247333919156414,569,5.7477018788644285,0.2409561974366529,12.172756896551723,580,7.539207728188547,0.31304856175222134,30.41,30,26.483,0.085,-0.374910674,413.26
2018-04,,0,,,13.859585714285716,630,11.553714611230479,0.46031100824758237,14.76610551948052,616,20.77947808299947,0.8372290309871531,31.5275,24,32.063,0.09,-0.342806016,413.24
2018-05,,0,,,22.983219560878243,501,7.082493285538408,0.3164224643218907,21.610054945054944,273,12.6687509743718,0.7667476894214532,42.764,25,58.28,0.24,-1.121077623,413.29
2018-06,,0,,,45.84321633554084,453,14.939850850951315,0.7019354250543941,53.03559219858156,282,21.56169231651281,1.283980092463998,57.9875,24,63.41,0.475,-2.129507686,413.36
2018-07,,0,,,85.78186896551723,145,21.69344232111756,1.8015423272366382,105.40697549019609,408,22.746219516099398,1.126105668293695,63.529999999999994,24,67.496,0.33,-2.631765561,413.35
2018-08,,0,,,,0,,,84.8827274368231,554,36.10546836508681,1.5339743606402279,62.642,30,65.183,0.12,-2.505065345,413.35
2018-09,,0,,,,0,,,61.602841999999995,500,18.83696515731001,0.8424146916308041,57.515,24,55.13,0.325,-1.263651149,413.29
2018-10,,0,,,,0,,,40.90314189189189,296,21.822243887174473,1.2683921619878884,41.68,18,37.553,0.375,-0.674623852,413.28
2018-11,,0,,,,0,,,22.76521755725191,524,12.850886919656343,0.5613936016698008,35.255,24,20.444,0.105,-0.576205353,413.28
2018-12,,0,,,,0,,,16.266322344322344,546,19.148566456476715,0.8194829931591721,31.805,24,16.934,0.175,-0.322105158,413.26
2019-01,11.0217,490,11.665294468315636,0.5269842870920044,,0,,,,0,,,31.7,24,2.669,0.08,-0.268132518,413.24
2019-02,13.32593288590604,298,18.481087324318427,1.0705806438863155,,0,,,,0,,,30.815,24,9.635,0.25,-0.333265164,413.22
2019-03,10.816303715670436,619,8.919689952353663,0.3585126086248614,,0,,,,0,,,31.67,24,22.829,0.16,-0.205071333,413.19
2019-04,13.882813204508858,621,13.420732441091793,0.5385554413188978,,0,,,,0,,,34.5875,24,38.84,0.375,-0.721353631,413.28
2019-05,27.07702210884354,588,18.668148347662786,0.769861462413927,,0,,,,0,,,44.11586206896551,29,48.002,0.225,-1.784263841,413.41
2019-06,54.57968171021378,421,37.42758438738254,1.824108849600037,,0,,,,0,,,54.81090909090909,22,60.98,0.245,-2.760169461,412.58
2019-07,85.67702385685884,503,114.40087704738372,5.1008829916646095,,0,,,,0,,,62.282,30,68.45,0.24,-2.556933186,413.4
2019-08,78.08964402810304,427,71.336580964199,3.452219115809966,,0,,,,0,,,60.56,24,60.944,0.25,-2.18092116,413.35
2019-09,58.53248275862069,58,20.861791072324344,2.739287368771716,,0,,,,0,,,56.682500000000005,24,54.302,0.435,-1.470922678,412.51
2019-10,41.85526427061311,473,41.14071549201402,1.89165211369004,,0,,,,0,,,46.885999999999996,30,41.333,0.345,-0.69481324,413.36
2019-11,20.95378369905956,638,9.768271495492709,0.3867295718853417,,0,,,,0,,,33.8,30,23.063,0.21,-0.562051163,413.19
2019-12,17.86626423690205,439,17.56357599660351,0.8382637465962344,,0,,,,0,,,33.62,23,13.451,0.245,-0.34209981,413.37
2020-01,10.780682170542635,387,11.676656920503287,0.5935578288803552,,0,,,,0,,,32.18,30,,,-0.482638309,411.12
2020-02,10.127278860569714,667,15.313863454925873,0.5929551610051893,,0,,,,0,,,31.79,24,,,-0.377384043,
2020-03,6.8077662141779784,663,7.955927019988078,0.3089826022412058,,0,,,,0,,,32.385714285714286,28,,,-0.297288583,411.08
2020-04,21.009803571428574,840,21.906935393324225,0.7558610812835549,,0,,,,0,,,37.2875,24,,,-0.765010899,411.14
2020-05,30.593782729805014,718,44.43221689502523,1.658195607157638,,0,,,,0,,,49.4225,24,,,-1.028011239,411.22
2020-06,52.171498800959235,417,32.325149605157165,1.5829693866675376,,0,,,,0,,,58.95034482758621,29,,,-1.862048321,411.21
2020-07,72.78059939759036,332,34.13202647627003,1.8732383140581488,,0,,,,0,,,63.66434782608696,23,,,-2.569834062,411.17
2020-08,78.37501918465229,417,56.306490211451894,2.757340688725031,,0,,,,0,,,64.2875,16,,,-2.626357875,411.2
2020-09,87.45525260416667,384,37.52188065560431,1.9147804540799442,,0,,,,0,,,55.90571428571428,21,,,-2.289879993,411.21
2020-10,44.21961705989111,551,21.090870206116957,0.8985012789013861,,0,,,,0,,,45.167692307692306,26,,,-0.206353335,411.18
2020-11,24.78683947368421,380,11.994400028131855,0.6152997387556424,,0,,,,0,,,35.9975,24,,,-0.494126889,411.19
2020-12,21.866856610800745,537,21.189134065105815,0.9143786265435964,,0,,,,0,,,32.43071428571429,28,,,-0.529610974,411.16
2021-01,16.140021108179422,379,18.461074469855863,0.9482816991558967,,0,,,,0,,,31.9175,24,,,-0.534209067,411.1
2021-02,12.739642701525055,459,5.6623191769432,0.26429442576278117,,0,,,,0,,,30.4475,24,,,-0.655321087,
2021-03,12.94395867768595,605,15.693107279082518,0.6380155391677322,,0,,,,0,,,31.66,18,,,-0.716524691,
2021-04,21.73605498281787,582,28.401482896070185,1.177279342671064,,0,,,,0,,,35.34285714285714,28,,,-0.860022954,
2021-05,26.47993857965451,521,18.145614288626465,0.7949737956202394,,0,,,,0,,,48.11,24,,,-1.388542136,
2021-06,47.935099029126214,515,29.119478084043024,1.2831575162197308,,0,,,,0,,,60.02,12,,,-2.210189889,
2021-07,39.60120672268908,595,27.14127262943669,1.1126836964347109,,0,,,,0,,,,0,,,-1.720323574,
2021-08,33.894326885880076,517,25.22149206513713,1.1092399527204941,,0,,,,0,,,,0,,,-1.376852963,
2021-09,32.602122807017544,456,20.759834929213245,0.9721683422739592,,0,,,,0,,,,0,,,-1.027770139,
2021-10,29.92742754919499,559,28.493656944099968,1.2051532804685352,,0,,,,0,,,,0,,,-0.464367241,
2021-11,20.135240188383044,637,33.14000534311822,1.3130548190523441,,0,,,,0,,,,0,,,-0.321412418,
2021-12,11.566764966740577,451,17.942208803395328,0.8448656156600844,,0,,,,0,,,,0,,,-0.382375132,
